distil_fn,lambda,max acc,best_iter,val_acc,val_loss
CE,0.2,80.582,1,80.3418,320.6176553
KD,0.2,80.74,5,80.285,323.0911706
CE,0.2,80.412,1,80.2002,327.1176537
KD,0.2,80.546,9,80.2492,322.4373807
CE,0.2,80.522,8,80.257,325.0921987
KD,0.2,80.69,5,80.3278,324.5840417
CE,0.2,80.554,3,80.2626,322.9431857
KD,0.2,80.634,3,80.3654,320.9140968
CE,0.2,80.67,3,80.3514,322.7649513
KD,0.2,80.542,5,80.3904,318.7557674
CE,0.4,80.37,1,80.1456,323.0499722
KD,0.4,80.708,9,80.2026,326.5471745
CE,0.4,80.498,2,80.3144,322.9718447
KD,0.4,80.372,2,80.186,323.8569382
CE,0.4,80.422,1,80.1736,325.0954915
KD,0.4,80.614,2,80.2452,324.7633592
CE,0.4,80.436,9,80.2038,326.8840787
KD,0.4,80.492,7,80.1732,325.1544335
CE,0.4,80.582,7,80.1794,321.2466417
KD,0.4,80.514,2,80.1446,327.3537009
CE,0.6,80.77,1,80.3156,323.2710438
KD,0.6,80.56,9,80.2178,322.9975513
CE,0.6,80.458,9,80.2662,322.5919828
KD,0.6,80.56,4,80.2736,323.3108002
CE,0.6,80.57,3,80.239,325.3641426
KD,0.6,80.618,7,80.3082,324.217625
CE,0.6,80.75,9,80.2124,327.8517931
KD,0.6,80.56,5,80.3068,323.4371602
CE,0.6,80.37,4,80.2268,325.8596335
KD,0.6,80.462,2,80.3012,324.5144011