distil_fn,lambda,temperature_t,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0,0.5,320.6565615,4095.088129,1531.910195,80.288,55.66952381,49.01948509,2,6,6,79.9908,55.33495238,48.37984193
KD,0,0.5,319.4352293,4078.93223,1536.700427,80.366,55.75428571,48.74403318,2,2,0,80.1542,55.43190476,48.3607481
CE,0,1,322.5507279,4118.324641,1543.942065,80.22,56.0252381,48.95218718,7,8,6,79.9386,55.34685714,48.1757571
KD,0,1,321.4988018,4135.356633,1553.072062,80.442,55.90761905,48.54526958,6,4,7,80.087,55.2892381,48.16965334
CE,0,5,322.9877665,4120.157007,1546.175239,80.544,55.68857143,48.78785507,6,3,4,80.0104,55.33580952,48.28828547
KD,0,5,322.9178228,4102.340112,1530.153722,80.28,55.85571429,48.84889271,3,4,8,80.0014,55.41842857,48.36090461
CE,0,10,321.3873214,4109.702132,1540.576834,80.336,55.6752381,48.82698177,8,8,8,79.9822,55.33547619,48.32475155
KD,0,10,322.582561,4110.082882,1560.965397,80.348,56.0252381,48.65795446,0,2,6,80.1224,55.6322381,48.36106112
CE,0,20,321.0349927,4034.958816,1524.942581,80.366,55.89714286,48.83167697,9,0,4,79.9526,55.49028571,48.38438062
KD,0,20,321.7304579,4095.472522,1538.029907,80.514,55.64857143,48.65012912,8,8,6,80.067,55.30452381,48.12817904
CE,0.2,0.5,314.8298415,3953.291505,1485.362956,80.41,55.67095238,48.70647155,6,0,6,79.9876,55.05285714,48.21253619
KD,0.2,0.5,321.2141345,4007.53238,1486.01211,80.12,55.51142857,48.97096799,4,6,6,79.7242,55.12690476,48.37045152
CE,0.2,1,323.8089745,4091.202761,1541.816684,80.216,55.78857143,49.0241803,4,4,4,79.888,55.42790476,48.28922451
KD,0.2,1,316.2293285,4027.093921,1503.034457,80.362,55.67,49.02105016,8,7,4,79.9322,55.13661905,48.3537053
CE,0.2,5,516.696776,6979.569837,2535.000865,81.588,56.17619048,49.20885828,0,6,1,81.4048,55.84061905,48.69989827
KD,0.2,5,450.7650956,6082.956814,2266.128624,80.996,56.12761905,49.20885828,1,8,8,80.4628,55.21266667,48.29329368
CE,0.2,10,431.880839,6166.645434,2251.549799,83.328,57.1847619,49.87870725,3,3,1,82.78,56.88614286,49.36974724
KD,0.2,10,421.880745,5682.703128,2083.019483,81.32,56.11904762,49.4843102,5,5,0,81.0752,55.75280952,48.81258314
CE,0.2,20,394.0150831,5811.154742,2102.143852,83.634,57.71714286,50.23867282,9,0,4,83.3282,57.14890476,49.72517411
KD,0.2,20,384.8994414,5217.274924,1902.946783,81.552,56.25857143,49.39353627,9,9,1,81.1862,55.88752381,48.97081149
CE,0.4,0.5,301.2219076,3712.588521,1392.113202,79.908,55.48809524,48.65795446,0,9,6,79.7146,55.00014286,48.18639956
KD,0.4,0.5,315.7905365,3907.371022,1472.459037,80.014,55.49380952,48.62352297,3,7,6,79.6996,55.07571429,48.10532906
CE,0.4,1,319.7944861,4156.704793,1556.207776,80.716,55.95428571,49.03826591,9,1,1,80.1534,55.36590476,48.46075593
KD,0.4,1,316.7972379,3941.844257,1478.574793,79.962,55.72380952,48.33868065,1,3,5,79.497,54.79342857,47.80546209
CE,0.4,5,531.0395024,7025.621188,2557.997784,81.998,56.48714286,49.24641991,7,7,2,81.295,56.0932381,48.72227874
KD,0.4,5,490.4634759,6620.224206,2399.303505,81.23,55.6647619,49.05548165,1,2,0,80.6066,55.2927619,48.54949527
CE,0.4,10,435.0950043,6179.291758,2239.594137,83.356,57.45952381,49.94600516,1,8,1,83.028,57.12404762,49.63455669
KD,0.4,10,433.3321378,5973.833973,2170.15974,82.06,56.44142857,49.31841302,8,0,5,81.6952,55.92690476,48.83261601
CE,0.4,20,400.9830341,5836.642886,2126.244653,83.978,58.04095238,50.4530871,2,6,3,83.5272,57.572,50.13584788
KD,0.4,20,399.8812877,5513.49167,1978.52194,82.588,56.34809524,50.08373112,4,9,4,81.9174,56,49.25252367
CE,0.6,0.5,285.4960531,3469.051102,1300.269216,80.03,55.51095238,48.93653651,0,7,9,79.71,55.10414286,48.23695125
KD,0.6,0.5,309.3135703,3726.216096,1387.564285,79.528,55.22238095,48.36685187,5,5,7,79.0384,54.41866667,47.64645121
CE,0.6,1,319.1486766,4107.959011,1542.997052,80.348,56.05333333,48.65169419,7,9,9,80.1708,55.32219048,48.33148134
KD,0.6,1,313.0361826,3778.709536,1408.287646,79.736,55.13333333,48.23695125,3,6,4,79.1088,54.80304762,47.69747242
CE,0.6,5,523.8669586,7126.257213,2558.310166,82.086,56.61857143,49.5860396,3,9,9,81.6192,55.89461905,48.79286329
KD,0.6,5,509.5908427,6903.930011,2488.191576,81.288,55.76904762,48.95688239,5,5,2,80.9402,55.32157143,48.46169497
CE,0.6,10,434.3504692,6310.490918,2266.028446,83.356,57.49428571,50.35292276,8,1,7,83.0598,57.04280952,49.65130292
KD,0.6,10,441.7257231,6137.729488,2207.970271,82.478,57.10619048,50.29032006,3,3,3,82.073,56.26719048,49.28758119
CE,0.6,20,396.6371769,5876.921386,2136.819302,83.936,58.08809524,50.60489866,8,3,3,83.7324,57.51171429,49.97934111
KD,0.6,20,406.9686109,5642.985752,2039.855907,82.876,57.45761905,49.92878942,5,4,7,82.3824,56.57390476,49.49119649